Task Name,Description,List (Sprint),Status,Assignee,Start Date,Due Date,Priority,Tags,Story Points
"Crear endpoint POST /api/events/{id}/checkin","Implementar en ParticipantController. Recibe: {token: 'checkin_token'}. Verificar que el usuario autenticado es el organizador del evento. Buscar participante por event_id + checkin_token. Si no existe: 404 'Código QR inválido'. Si ya hizo check-in: 400 con hora del check-in previo. Si válido: actualizar attendance_status=ATTENDED y checked_in_at=NOW(). Retornar CheckinResponse con nombre del participante. RF-22.",Sprint 5,complete,Mateo Astudillo,12/31/2025,01/04/2026,High,backend,5
"Crear endpoint GET /api/events/{id}/attendance-list","Implementar en ParticipantController. Solo accesible por el organizador del evento. Retornar lista de participantes con: nombre, email, estado de asistencia, hora de check-in. Verificar que el usuario autenticado es organizador (403 si no). RF-23.",Sprint 5,complete,Mateo Astudillo,01/04/2026,01/06/2026,Normal,backend,3
"Implementar pantalla MyTicketScreen (generar QR)","Crear pantalla de entrada/ticket. Llamar a participantService.getMyTicket(eventId). Mostrar: título del evento, fecha, ubicación, nombre del participante. Generar código QR visualmente usando react-native-qrcode-skia con el checkin_token. Diseño de ticket estilizado. RF-21.",Sprint 5,complete,Jeremy Tierra,12/27/2025,01/01/2026,High,frontend,5
"Implementar pantalla ScannerScreen (camara + lector QR)","Crear pantalla con cámara para escanear códigos QR usando expo-camera y expo-barcode-scanner. Activar cámara trasera con overlay de escaneo. Al detectar código QR, extraer token y llamar a participantService.checkin(eventId, token). Manejar permisos de cámara. RF-22.",Sprint 5,complete,Jeremy Tierra,01/01/2026,01/06/2026,High,frontend,8
"Implementar feedback visual de check-in (exito/error/duplicado)","Después del escaneo QR, mostrar feedback según respuesta del API: verde con nombre del participante si éxito, naranja si duplicado ('Ya registrado a las HH:MM'), rojo si código inválido. Animaciones de transición. Botón para continuar escaneando o volver. RF-22.",Sprint 5,complete,Jeremy Tierra,01/06/2026,01/08/2026,Normal,frontend,3
"Implementar vista de lista de asistencia para organizador","En EventDetailScreen (si isOrganizer=true), agregar botón 'Lista de asistencia'. Pantalla con FlatList de participantes: nombre, estado (pendiente/asistió), hora de check-in. Contador total de asistencia. RF-23.",Sprint 5,complete,Jeremy Tierra,01/06/2026,01/08/2026,Normal,frontend,3
"Implementar funcionalidad de compartir evento (Share API)","En EventDetailScreen, agregar botón de compartir. Usar Share.share() de react-native. Contenido: título del evento, fecha formateada, ubicación, descripción breve. Formato de texto limpio para cualquier app de destino. RF-24.",Sprint 5,complete,Jeremy Tierra,01/08/2026,01/09/2026,Normal,frontend,3
"Validaciones de seguridad: solo organizador puede escanear","En ParticipantService.checkinByToken(), verificar que el userId del JWT corresponde al organizer_id del evento antes de permitir el check-in. Retornar 403 si no es organizador. Ocultar botón de escaneo en el frontend si isOrganizer=false. RF-22.",Sprint 5,complete,Mateo Astudillo,01/06/2026,01/07/2026,High,backend,2
"Prevencion de check-in duplicado","En ParticipantService.checkinByToken(), verificar checked_in_at != null antes de actualizar. Si ya tiene check-in, lanzar BadRequestException con la hora del check-in previo. En el frontend, mostrar mensaje naranja indicando duplicado con timestamp. RF-22.",Sprint 5,complete,Mateo Astudillo,01/07/2026,01/08/2026,Normal,backend,2
"Crear endpoint GET /api/users/me","Implementar en UserController. Extraer userId del token JWT. Retornar datos completos del usuario: id, name, email, phone, profilePicture, description, role, registrationDate, active. Incluir interests (categorías). RF-03.",Sprint 6,complete,Mateo Astudillo,01/10/2026,01/11/2026,Normal,backend,2
"Crear endpoint PUT /api/users/me (editar perfil)","Implementar en UserController. Recibe UpdateProfileRequest: name, phone, description, profilePicture. Validar datos. Actualizar solo los campos enviados. Retornar usuario actualizado. RF-03.",Sprint 6,complete,Mateo Astudillo,01/11/2026,01/13/2026,Normal,backend,3
"Crear endpoint PUT /api/users/me/password","Implementar en UserController. Recibe UpdatePasswordRequest: currentPassword, newPassword. Verificar que currentPassword coincide con el hash almacenado usando BCrypt.matches(). Si no coincide: 400 'Contraseña actual incorrecta'. Encriptar nueva contraseña y actualizar. RF-25.",Sprint 6,complete,Mateo Astudillo,01/13/2026,01/15/2026,Normal,backend,3
"Implementar pantalla ProfileScreen","Crear pantalla de perfil con: avatar/iniciales del usuario, nombre, email, descripción. Menú de opciones: Editar perfil, Cambiar contraseña, Cerrar sesión. Usar datos del AuthContext. Navegación a sub-pantallas. RF-03.",Sprint 6,complete,Jeremy Tierra,01/10/2026,01/13/2026,Normal,frontend,3
"Implementar pantalla EditProfileScreen","Crear formulario de edición de perfil. Campos: nombre, teléfono, descripción. Cargar datos actuales del usuario. Validaciones locales. Llamar a userService.updateProfile(). Actualizar AuthContext con datos nuevos. Navegar de vuelta al confirmar. RF-03.",Sprint 6,complete,Jeremy Tierra,01/13/2026,01/15/2026,Normal,frontend,3
"Implementar pantalla ChangePasswordScreen","Crear formulario con 3 campos: contraseña actual, nueva contraseña, confirmar nueva contraseña. Validaciones: campos requeridos, contraseñas nuevas coinciden. Llamar a userService.updatePassword(). Mostrar errores del servidor (contraseña actual incorrecta). Mensaje de éxito y navegar de vuelta. RF-25.",Sprint 6,complete,Jeremy Tierra,01/15/2026,01/17/2026,Normal,frontend,3
"Implementar cierre de sesion","En ProfileScreen, botón 'Cerrar sesión'. Diálogo de confirmación. Al confirmar: llamar a authContext.signOut() que limpia AsyncStorage (token y user) y resetea el estado. La app navega automáticamente a la pantalla de Login al detectar token=null.",Sprint 6,complete,Jeremy Tierra,01/17/2026,01/18/2026,Low,frontend,2
"Manejo global de errores y excepciones (API)","Implementar GlobalExceptionHandler con @ControllerAdvice. Manejar: ResourceNotFoundException (404), BadRequestException (400), UnauthorizedException (401), DuplicateResourceException (409), MethodArgumentNotValidException (400 con detalle de campos). Retornar ErrorResponse consistente con: status, message, timestamp.",Sprint 6,complete,Mateo Astudillo,01/15/2026,01/17/2026,Normal,backend,3
"Pruebas de integracion de flujos principales","Realizar pruebas end-to-end de los flujos críticos: registro e inicio de sesión, crear y publicar evento, inscribirse a evento, generar QR y hacer check-in, comentar y valorar evento, marcar favorito, compartir evento. Documentar resultados y bugs encontrados.",Sprint 6,complete,Jeremy Tierra,01/17/2026,01/20/2026,High,qa,5
"Pruebas de usabilidad y ajustes de UI","Verificar usabilidad en dispositivos Android e iOS. Revisar: responsividad, tamaños de fuente, áreas táctiles, estados de carga, mensajes de error claros, navegación intuitiva. Ajustar estilos según hallazgos. Verificar safe areas y notch.",Sprint 6,complete,Mateo Astudillo,01/17/2026,01/20/2026,High,qa,5
"Correccion de bugs identificados en pruebas","Corregir todos los bugs identificados durante las pruebas de integración y usabilidad. Priorizar por severidad: críticos (bloquean funcionalidad), mayores (afectan UX), menores (cosméticos). Verificar correcciones con re-test.",Sprint 6,complete,Jeremy Tierra,01/20/2026,01/23/2026,High,bugfix,5
"Optimizacion de rendimiento y consultas","Revisar y optimizar consultas SQL lentas. Verificar índices en tablas con búsquedas frecuentes (events, participants, favorites). Optimizar N+1 queries en mapToEventResponse. Verificar tiempos de respuesta de endpoints principales.",Sprint 6,complete,Mateo Astudillo,01/20/2026,01/23/2026,Normal,backend,3
